"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Metsähallitus","Surkansuo pysäköintialue",7009686,3684968,"63.142585724","30.666202398"
"Metsähallitus","Otsamo kesäpolku p-alue",7644425,3491364,"68.882120380","26.781035997"
"Metsähallitus","Kattilantien pysäköintialue",6692383,3363473,"60.319645757","24.525963469"
"Metsähallitus","Kolmoislammen parkkipaikka",6689472,3363125,"60.293426109","24.521650979"
"Metsähallitus","Pallasjärvi pysäköintialue",7551265,3381555,"68.022619678","24.160121065"
"Metsähallitus","Aittajärvi parkkipaikka",7590315,3543924,"68.393775377","28.064313748"
"Metsähallitus","Haapavitjantie pysäköintialue",7036492,3674341,"63.387911207","30.484705632"
"Metsähallitus","Karkalin pysäköintialue",6685685,3323808,"60.244338078","23.815077473"
"Metsähallitus","Raja-Jooseppi parkkipaikka",7597381,3558313,"68.454510089","28.418182078"
"Metsähallitus","Välikangas pysäköintialue",7056978,3653278,"63.581076300","30.083785514"
"Metsähallitus","Tulivuoripuiston P-Alue",7519361,3386738,"67.738977554","24.317146436"
"Metsähallitus","Sipoonkorven Hindsbyn pysäköintialue",6694825,3400659,"60.352371566","25.197314943"
"Metsähallitus","Sipoonkorven Byabäckenin pysäköintialue",6694360,3401368,"60.348373545","25.210380196"
"Metsähallitus","Sumukka pysäköintialue",7005576,3691362,"63.102465189","30.787924419"
"Metsähallitus","Horkka pysäköintialue",7030805,3674373,"63.336970819","30.479175225"
"Metsähallitus","Neitijärvi veneenlaskupaikka",7034134,3677025,"63.365479195","30.535684289"
"Metsähallitus","Pyhäjärven P-Alue",7514350,3388715,"67.694857202","24.368875237"
"Metsähallitus","Juurakkovuopaja P-alue",7631266,3527080,"68.762986295","27.665383352"
"Metsähallitus","Koivukönkään P-alue",7344295,3520682,"66.190551264","27.455100988"
"Metsähallitus","Mietoistenlahden luontotuvan pysäköintipaikka",6735512,3218787,"60.630835210","21.855552639"
"Metsähallitus","Juurakon pysäköintialue 2",6846320,3351517,"61.695327551","24.190414297"
"Metsähallitus","Näätähiekka pysäköintipaikka",7041057,3555787,"63.467013662","28.115429095"
"Metsähallitus","Päijätsalon pysäköintialue",6820396,3424740,"61.484157656","25.584253415"
"Metsähallitus","Siida moottorikelkkaparkkialue",7647568,3500750,"68.910436582","27.014395124"
"Metsähallitus","Matovaara pysäköintialue",6975942,3650902,"62.856087088","29.960779375"
"Metsähallitus","Tammikämppä autiotupa",7076836,3623786,"63.770569373","29.506203552"
"Metsähallitus","Verkkopudas autiotupa",6993878,3726034,"62.977857356","31.456512030"
"Metsähallitus","Arpainen autiotupa",6957251,3365718,"62.694903251","24.373491294"
"Metsähallitus","Pyhä-Häkki opastusrakennus",6972722,3423193,"62.850179593","25.488522568"
"Metsähallitus","Helvetinkolu päivätupa",6887182,3334331,"62.054391813","23.828469750"
"Metsähallitus","Niemipuro autiotupa",6985005,3726690,"62.898084886","31.457300758"
"Metsähallitus","Rödjanin luontotupa",6644694,3298098,"59.865219240","23.392149704"
"Metsähallitus","Trunsö Kalskär",6645108,3208100,"59.815230958","21.791261325"
"Metsähallitus","Kullakoja opastustupa",6640269,3307758,"59.830179628","23.568341590"
"Metsähallitus","Laajalahden venevaja",6678506,3379506,"60.200267522","24.824159213"
"Metsähallitus","Gärskär autiotupa",6645966,3222005,"59.832467424","22.036988278"
"Metsähallitus","Savilampi autiotupa",7372792,3596414,"66.431880220","29.156501167"
"Metsähallitus","Puikkokämppä autiotupa",7370316,3596369,"66.409706308","29.153583161"
"Metsähallitus","Ristikallion autiotupa",7369260,3594919,"66.400687558","29.120347507"
"Metsähallitus","Siilastupa autiotupa",7353429,3609696,"66.254007646","29.436906924"
"Metsähallitus","Hautajärven Luontotalo",7382320,3591599,"66.518719239","29.055718603"
"Metsähallitus","Koivuselkä autiotupa",7306956,3415570,"65.845172125","25.147709913"
"Metsähallitus","Kaltiolampi autiotupa",7306305,3407994,"65.837243953","24.982419499"
"Metsähallitus","Kivalon autiotupa",7310008,3410203,"65.871062288","25.028189317"
"Metsähallitus","Palolampi opastuskatos",7090602,3598290,"63.902030293","28.998444535"
"Metsähallitus","Palolampi keittokatos",7090588,3598264,"63.901912085","28.997906435"
"Metsähallitus","Kukkuri autiotupa",7259734,3601270,"65.417188812","29.177352828"
"Metsähallitus","Lavajärvi autiotupa",7260669,3603527,"65.424861040","29.226629431"
"Metsähallitus","Ala-Valkeinen autiotupa",7265816,3610324,"65.468758354","29.377095570"
"Metsähallitus","Puukkojärvi autiotupa",7268258,3612198,"65.490000585","29.419517208"
"Metsähallitus","Laukkujärvi autiotupa",7269944,3610397,"65.505723983","29.382037563"
"Metsähallitus","Hossa luontokeskus",7265959,3616879,"65.467755532","29.518515671"
"Metsähallitus","Tulijärvi autiotupa",7248625,3621857,"65.310631699","29.610321027"
"Metsähallitus","Ailakkajärven autiotupa",7664996,3263978,"68.964791363","21.098329592"
"Metsähallitus","Pihtsusjärven autio- ja varaustupa",7693877,3274364,"69.231168133","21.289215096"
"Metsähallitus","Meekonjärven autiotupa",7685747,3276041,"69.160035721","21.350266433"
"Metsähallitus","Jogasjärven autiotupa",7684711,3281197,"69.154995628","21.481818753"
"Metsähallitus","Porojärven autiotupa",7683800,3284300,"69.149347947","21.561603176"
"Metsähallitus","Tenomuotka autiotupa",7673694,3300045,"69.071150537","21.977085998"
"Metsähallitus","Puvrrasjohkan autiotupa",7656936,3275232,"68.902335760","21.396136071"
"Metsähallitus","Kaskasjoen autiotupa",7650895,3287340,"68.858035775","21.709061026"
"Metsähallitus","Ropin autiotupa",7640798,3281950,"68.763713127","21.597810862"
"Metsähallitus","Aatsan autiotupa",7630743,3289281,"68.679614082","21.799346548"
"Metsähallitus","Kutukosken autiotupa",7640192,3298021,"68.770482325","21.994911854"
"Metsähallitus","Isokurkkon autiotupa",7623644,3308225,"68.629889258","22.277850227"
"Metsähallitus","Terbmisjärven autio -ja varaustupa",7671411,3269811,"69.026966003","21.228116360"
"Metsähallitus","Saarijärven autio- ja varaustupa",7675863,3264741,"69.062350464","21.091204841"
"Metsähallitus","Haltin autiotupa",7699908,3274001,"69.284659720","21.265859060"
"Metsähallitus","Kalmakaltion autiotupa",7603948,3407028,"68.503949234","24.722777680"
"Metsähallitus","Kobmajoen autiotupa",7697428,3282937,"69.269870026","21.496714843"
"Metsähallitus","Taabmajärven autiotupa",7683876,3292142,"69.156140516","21.757950928"
"Metsähallitus","Syväjärven autiotupa",7619975,3317738,"68.603474330","22.517531611"
"Metsähallitus","Kalkkoaivin autiotupa",7635111,3301747,"68.727789988","22.096751971"
"Metsähallitus","Salvasjärven autiotupa",7627048,3339450,"68.680058564","23.038140504"
"Metsähallitus","Näkkälän välitupa",7606711,3361949,"68.510132402","23.618955575"
"Metsähallitus","Stallojärven autiotupa",7612163,3388276,"68.570674956","24.255972404"
"Metsähallitus","Nallatupa",7600508,3390497,"68.467178746","24.322781551"
"Metsähallitus","Naltijärven autiotupa",7614576,3406943,"68.599126680","24.711045528"
"Metsähallitus","Lenkihaka autiotupa",7616618,3401680,"68.615613152","24.579997288"
"Metsähallitus","Puolitaipaleen autiotupa",7572839,3360998,"68.206516271","23.640846373"
"Metsähallitus","Muotkajärven päivätupa",7589359,3353518,"68.350595436","23.437722234"
"Metsähallitus","Vaskolompolo autitotupa",7613669,3425714,"68.596627127","25.172246324"
"Metsähallitus","Matti Musta autiotupa",7645065,3474202,"68.886775889","26.354235254"
"Metsähallitus","Oahojoki autiotupa",7616997,3463079,"68.633909416","26.088037533"
"Metsähallitus","Kivipää tupa",7590793,3528621,"68.400016046","27.692224965"
"Metsähallitus","Vellinsärpimä tupa",7593796,3523553,"68.427402516","27.569593624"
"Metsähallitus","Luulampi opastustupa",7585567,3523006,"68.353675902","27.554463966"
"Metsähallitus","Rumakuru vanha tupa",7588447,3521225,"68.379632909","27.511800131"
"Metsähallitus","Iisakkijärvi autiotupa",7729077,3556013,"69.635221738","28.437359772"
"Metsähallitus","Opukasjärvi autiotupa",7724106,3556566,"69.590558838","28.448555302"
"Metsähallitus","Roussajärvi autiotupa",7734998,3559792,"69.687454381","28.538425941"
"Metsähallitus","Huikkimajoki autiotupa",7737498,3555054,"69.710884446","28.417715244"
"Metsähallitus","Jääsaari autiotupa",7643108,3529382,"68.868906712","27.725761163"
"Metsähallitus","Petäjäsaari autiotupa",7647769,3523437,"68.911255195","27.579154302"
"Metsähallitus","Kahkusaari autiotupa",7659111,3526552,"69.012644463","27.659727545"
"Metsähallitus","Otsamo päivätupa",7644600,3493665,"68.883752957","26.838228265"
"Metsähallitus","Suivakkojärvi autiotupa",7624375,3481611,"68.701897191","26.542289196"
"Metsähallitus","Rautujärvi tupa",7618860,3502503,"68.653064118","27.057360226"
"Metsähallitus","Ritakoski tupa",7602238,3497257,"68.504041630","26.928748169"
"Metsähallitus","Pahaoja tupa",7596041,3494438,"68.448441461","26.860185037"
"Metsähallitus","Taimenjärvi autiotupa",7607600,3473986,"68.550905624","26.358578377"
"Metsähallitus","Paaraskalla autiotupa",7578931,3440613,"68.288861768","25.557772144"
"Metsähallitus","Tammitupa",7508231,3390849,"67.640853738","24.425188909"
"Metsähallitus","Porokämppä autiotupa",7511989,3394544,"67.675869750","24.508553383"
"Metsähallitus","Kapperapalo autiotupa",7583218,3404563,"68.317424587","24.681632034"
"Metsähallitus","Taatsijärvi autiotupa",7571077,3441212,"68.218593774","25.576658016"
"Metsähallitus","Villenkämpä  autiotupa",7503330,3391718,"67.597276314","24.450377513"
"Metsähallitus","Rämeäselkä autiotupa",7542401,3449846,"67.963206668","25.798491615"
"Metsähallitus","Tuorekurun autiotupa",7488429,3372418,"67.456103735","24.014221145"
"Metsähallitus","Aalistunturi autiotupa",7439375,3388278,"67.023123427","24.431745905"
"Metsähallitus","Juuanrova autiotupa",7535960,3368598,"67.879976169","23.869000369"
"Metsähallitus","Kuusikonmaa autiotupa",7533150,3370081,"67.855487651","23.907566921"
"Metsähallitus","Pyhälampi päivätupa",7445209,3498098,"67.096134585","26.952251077"
"Metsähallitus","Kapusta päivätupa",7441344,3500237,"67.061485146","27.001480495"
"Metsähallitus","Palotunturin autiotupa",7351140,3527664,"66.251399499","27.611505220"
"Metsähallitus","Pajupuro autiotupa",7337900,3526189,"66.132797982","27.575989644"
"Metsähallitus","Kuulea päivätupa",7330737,3534103,"66.067814898","27.749289954"
"Metsähallitus","Kenttäsaari autiotupa",7340203,3498601,"66.154519442","26.965174376"
"Metsähallitus","Porosaari päivätupa",7329409,3508973,"66.057601885","27.194257705"
"Metsähallitus","Tervonniemen autiotupa",7300847,3462603,"65.799375559","26.178988176"
"Metsähallitus","Kätkälampi autiotupa",7412105,3440350,"66.793449558","25.639993153"
"Metsähallitus","Louevaara autiotupa",7370806,3418578,"66.418266560","25.172769343"
"Metsähallitus","Käyrästunturi päivätupa",7430084,3463984,"66.958360638","26.171764539"
"Metsähallitus","Ulkujärvi autiotupa",7379462,3486520,"66.506282417","26.693218230"
"Metsähallitus","Aihkipetsin päivätupa",7399719,3578005,"66.678380760","28.761284436"
"Metsähallitus","Murhahaara autiotupa",7505283,3609490,"67.614444703","29.571793544"
"Metsähallitus","Härkätunturi tupa",7511189,3604234,"67.669258592","29.453785681"
"Metsähallitus","Kärekeoja tupa",7532511,3592615,"67.864187604","29.197918437"
"Metsähallitus","Mantoselkä tupa",7552992,3582491,"68.050756083","28.972935375"
"Metsähallitus","Karhuoja tupa",7538277,3593527,"67.915553778","29.224511431"
"Metsähallitus","Tahvontupa",7560905,3565192,"68.126108056","28.563347094"
"Metsähallitus","Manto-oja tupa",7552230,3582333,"68.043973478","28.968569518"
"Metsähallitus","Mettopalo tupa",7536507,3592981,"67.899871682","29.210006230"
"Metsähallitus","Hirvashauta tupa",7536353,3595187,"67.897776891","29.262352226"
"Metsähallitus","Uittipiekka tupa",7534862,3564838,"67.892779507","28.539242423"
"Metsähallitus","Hammaskuru tupa",7565086,3554068,"68.165892953","28.298088449"
"Metsähallitus","Tuiskukuru tupa",7570034,3535130,"68.213193852","27.843671861"
"Metsähallitus","Kuusela tupa",7569702,3542499,"68.209218698","28.021350684"
"Metsähallitus","Siulanruoktu tupa",7560995,3560993,"68.127837197","28.462479499"
"Metsähallitus","Tammikämppä tupa",7555703,3542056,"68.083794731","28.005163069"
"Metsähallitus","Karapulju tupa",7563029,3540814,"68.149645729","27.978147010"
"Metsähallitus","Koilliskairan luontokeskus",7565766,3504346,"68.177042451","27.100573340"
"Metsähallitus","Luirojärvi tupa",7569765,3542579,"68.209771542","28.023305923"
"Metsähallitus","Nattasen palovartijantupa",7559700,3515563,"68.122274293","27.369966617"
"Metsähallitus","Lankojärvi tupa",7580698,3533750,"68.308957242","27.813766855"
"Metsähallitus","Muorravaarakanruoktu kammi",7575337,3552220,"68.258118579","28.258629395"
"Metsähallitus","Sarvioja tupa",7581504,3545976,"68.314471652","28.110358524"
"Metsähallitus","Anterinmukka tupa",7574657,3560210,"68.250450167","28.451385228"
"Metsähallitus","Porttikoski tupa",7584399,3536723,"68.341766379","27.887098581"
"Metsähallitus","Snellmaninmaja",7590497,3547590,"68.394815264","28.153554598"
"Metsähallitus","Suomunruoktu tupa",7574424,3525946,"68.253528460","27.623114545"
"Metsähallitus","Rautulampi tupa",7581110,3526913,"68.313377917","27.648190304"
"Metsähallitus","Piilopirtin kämppä",7533006,3476300,"67.882375228","26.432064961"
"Metsähallitus","Yliluosto autiotupa Luosto",7459561,3489405,"67.224638114","26.750849682"
"Metsähallitus","Njaugoaivi autiotupa",7714127,3473021,"69.505718672","26.305421727"
"Metsähallitus","Madjohka autiotupa",7736391,3487961,"69.706392083","26.684681163"
"Metsähallitus","Kuivi autiotupa",7725833,3481378,"69.611367481","26.516840058"
"Metsähallitus","Stuorraäytsi autiotupa",7684150,3462152,"69.235708856","26.039431883"
"Metsähallitus","Pöyrisjärven autio ja varaustupa",7627452,3370960,"68.700080935","23.812684851"
"Metsähallitus","Peskihaara tupa",7553165,3576206,"68.054037400","28.822523494"
"Metsähallitus","Pingiskosken autiotupa",7643658,3305820,"68.807021889","22.180426937"
"Metsähallitus","Korteoja autiotupa",7615511,3394070,"68.602913725","24.394397944"
"Metsähallitus","Kaapi Aikio ja Teuvo Lehtola kämppä Pirula (Opastustupa)",7601232,3454720,"68.491366098","25.889556666"
"Metsähallitus","Poliisien kämppä Sallivaara päivätupa",7600833,3454113,"68.487690945","25.874908471"
"Metsähallitus","Takalo Mikko kämppä kahvikämppä (autiotupa)",7601215,3454749,"68.491218403","25.890272487"
"Metsähallitus","Piilola autiotupa",7671793,3569048,"69.118886373","28.731011433"
"Metsähallitus","Jyrkkävaara tupa",7589409,3551629,"68.384356629","28.251247629"
"Metsähallitus","Kiertämäjärvi tupa",7587937,3558950,"68.369736456","28.428374196"
"Metsähallitus","Sudenpesä kammi",7581421,3545132,"68.313862675","28.089867711"
"Metsähallitus","Muorravaarakka tupa",7575200,3552197,"68.256894817","28.258005812"
"Metsähallitus","Peuraselkä tupa",7561291,3570965,"68.128198505","28.702336826"
"Metsähallitus","Puussasvaaran autiotupa",7633003,3311993,"68.716082434","22.352804255"
"Metsähallitus","Haukkalammen opastupa, Haukanpesä",6691292,3362815,"60.309640988","24.514811362"
"Metsähallitus","Ulko-Tammio autiotupa",6693392,3525376,"60.350948404","27.456578098"
"Metsähallitus","Tsuomasjärvi autiotupa",7754615,3548040,"69.865648387","28.245612729"
"Metsähallitus","Ruktajärvi autiotupa",7708591,3472512,"69.456044768","26.294034702"
"Metsähallitus","Pitkälahti autiotupa",7026050,3383017,"63.317556118","24.662217012"
"Metsähallitus","Pyhäjärven Autiotupa",7512586,3388943,"67.679144331","24.376013723"
"Metsähallitus","Korsatunturin autiotupa",7589161,3414826,"68.373944005","24.925433349"
"Metsähallitus","Lossujärven autiotupa",7691556,3263192,"69.200929487","21.014264829"
"Metsähallitus","Tsaarajärvi autiotupa",7745323,3548452,"69.782301146","28.251371980"
"Metsähallitus","Pisteri autiotupa",7678627,3550630,"69.184172609","28.271859276"
"Metsähallitus","Ravadasjärvi autiotupa",7623050,3458427,"68.687509315","25.971197234"
"Metsähallitus","Haapakoski päivätupa",7645751,3498025,"68.894139837","26.946602906"
"Metsähallitus","Avisuorajoen kammi",7597493,3417226,"68.449310164","24.977079877"
"Metsähallitus","Raahenpirtti",7600626,3499721,"68.489604479","26.988984126"
"Metsähallitus","Latvakangas autiotupa",7169898,3497294,"64.627091266","26.939822105"
"Metsähallitus","Sammakkotammi  opastuskatos",7058573,3565983,"63.622368493","28.327142572"
"Metsähallitus","Ränkänsaari autiotupa",7147118,3622232,"64.400961015","29.531320792"
"Metsähallitus","Jämäshovi autiotupa",7099614,3623443,"63.974825088","29.517462880"
"Metsähallitus","Lintulampi autiotupa",7232708,3628841,"65.165372522","29.745088443"
"Metsähallitus","Kivijärvi autiotupa",7143987,3588776,"64.383207252","28.836133841"
"Metsähallitus","Taivalköngäs autiotupa",7370262,3598010,"66.408711280","29.190245829"
"Metsähallitus","Jussinkämppä, autiotupa",7359083,3613153,"66.303436342","29.518796637"
"Metsähallitus","Oulangan luontokeskus",7365963,3603752,"66.368334956","29.315102676"
"Metsähallitus","Näätälampi autiotupa",7302162,3624657,"65.789196817","29.719905746"
"Metsähallitus","Martimo-oja niittytupa",7302969,3415907,"65.809523280","25.157643859"
"Metsähallitus","Valtavaaran päivätupa (ent. palovartijan tupa)",7345523,3598945,"66.186729459","29.191767099"
"Metsähallitus","Salmilompolo päivätupa",7409998,3376267,"66.755339427","24.186884268"
"Metsähallitus","Kumputunturin palovartijan maja",7515714,3439284,"67.721975404","25.561232769"
"Metsähallitus","Kumputunturi paviljonki",7515717,3439302,"67.722006043","25.561656292"
"Metsähallitus","Louhioja tupa",7604933,3501758,"68.528213047","27.038810703"
"Metsähallitus","Tammikämppä autiotupa",7538255,3368499,"67.900477163","23.863881882"
"Metsähallitus","Palokkaanlampi autiotupa",7373004,3408201,"66.435072303","24.938937932"
"Metsähallitus","Nestori luontokeskus",6863498,3600032,"61.865201388","28.897623856"
"Metsähallitus","Goahppelasjavri autiotupa",7750074,3492154,"69.829204125","26.791758679"
"Metsähallitus","Syötteen luontokeskus",7282425,3528219,"65.635145837","27.609014746"
"Metsähallitus","Löytöjärvi päivätupa",7177947,3548381,"64.695854738","28.010451434"
"Metsähallitus","Venekari päivätupa",7127060,3338312,"64.204801073","23.666554836"
"Metsähallitus","Ojanlatvan varaustupa",7499906,3385197,"67.564133613","24.300784691"
"Metsähallitus","Mäntylän kämppä",7504493,3390185,"67.607124223","24.413243100"
"Metsähallitus","Saiho tupa",7544268,3602162,"67.966305755","29.435672561"
"Metsähallitus","Hankala autiotupa",7483076,3450087,"67.431448608","25.830969905"
"Metsähallitus","Rytivaara Ruununmetsätorppa",7298171,3532267,"65.775973741","27.700719129"
"Metsähallitus","Kilpisjärven luontotalo",7671164,3256128,"69.012907664","20.888253625"
"Metsähallitus","Tunturi-Lapin luontokeskus",7593805,3363225,"68.395248041","23.667163615"
"Metsähallitus","Hukkumajärven kämppä",7501288,3413527,"67.586212894","24.964206052"
"Metsähallitus","Sommarön vartiotupa",7019480,3213479,"63.163573560","21.304883816"
"Metsähallitus","Raatejärvi, uusi autiotupa",7046335,3401796,"63.505078078","25.024172998"
"Metsähallitus","Auttiköngäs uittopirtti",7355195,3509233,"66.288836628","27.201830895"
"Metsähallitus","Lentua luontotupa",7124348,3626181,"64.195490914","29.593865986"
"Metsähallitus","Lentua grillikota",7124369,3626142,"64.195693344","29.593081774"
"Metsähallitus","Auttiköngäs museaalinen rakennus",7355200,3509191,"66.288882677","27.200895654"
"Metsähallitus","Närängän puoji, varasto ja näyttelytila",7286208,3622282,"65.647183664","29.653376054"
"Metsähallitus","Vaattunkivaara näkötorni",7391113,3464295,"66.608975789","26.190461183"
"Metsähallitus","Iso Herajärvi autiotupa",7380188,3487794,"66.512846168","26.721772551"
"Metsähallitus","Seitsemisen luontokeskus",6879059,3309289,"61.969842440","23.359346308"
"Metsähallitus","Kivalon jääkärikämppä",7311003,3410895,"65.880174545","25.042664829"
"Metsähallitus","Tammakkolampi kammi",7573215,3523765,"68.242879038","27.570119339"
"Metsähallitus","Pahtavuoma autiotupa",7526626,3381937,"67.802133866","24.195984463"
"Metsähallitus","Saarijärvi päivätupa",7191084,3574878,"64.808813608","28.572455816"
"Metsähallitus","Karhunjuomalampi päivätupa",7436748,3507848,"67.020176208","27.176107022"
"Metsähallitus","Koivuluodon autiotupa",6688271,3522209,"60.305171771","27.398654669"
"Metsähallitus","Honkisaari Lentua aitta",7129502,3633859,"64.238778405","29.756294141"
"Metsähallitus","Lehtosaari autiotupa",7130883,3628813,"64.253076033","29.653582290"
"Metsähallitus","Väärälampi autiotupa",7163960,3637122,"64.546200810","29.855375171"
"Metsähallitus","Naltiojoki tupa",7544737,3586612,"67.975582806","29.065015110"
"Metsähallitus","Koivukari autiotupa",7127371,3337011,"64.206972483","23.639478712"
"Metsähallitus","Palovartijan tupa",7163017,3475966,"64.564517767","26.495089384"
"Metsähallitus","Kattilankalla autiotupa",7228342,3406073,"65.137902874","24.994727823"
"Metsähallitus","Jussarö sepelivarasto- & vesitorni",6639671,3308100,"59.824980395","23.574979227"
"Metsähallitus","Ruunaa luontotalo",7035969,3667081,"63.386692727","30.339208585"
"Metsähallitus","Hannukurun autio ja varaustupa",7573452,3373819,"68.217970793","23.948996326"
"Metsähallitus","Nammalakuru autio ja varaustupa",7563558,3377719,"68.131084444","24.054403191"
"Metsähallitus","Mäntyrova autiotupa",7552059,3375115,"68.027004377","24.005270423"
"Metsähallitus","Keimiöjärven autiotupa",7543278,3381323,"67.951002343","24.163345854"
"Metsähallitus","Hannukurun varaustupa",7573423,3373619,"68.217622479","23.944210158"
"Metsähallitus","PallasjärvenPunainenhiekka autiotupa",7549518,3384495,"68.008170751","24.232278442"
"Metsähallitus","Sevettijärvi perinnetalo",7715197,3562473,"69.509408679","28.594245037"
"Metsähallitus","Mustakeron autiotupa",7545174,3382545,"67.968481021","24.190413092"
"Metsähallitus","Postijoki autiotupa",7616215,3436005,"68.621993312","25.423137259"
"Metsähallitus","PallasjärvenAittalahden kämppä",7549963,3385207,"68.012440820","24.248815809"
"Metsähallitus","Pallasjärvi Hietalahden autiotupa",7552268,3386387,"68.033551905","24.274582597"
"Metsähallitus","Tappurin autiotupa",7580750,3370859,"68.281976749","23.868715997"
"Metsähallitus","Rautuojan autiotupa",7576536,3364850,"68.241460841","23.728903337"
"Metsähallitus","Sioskurun autio ja varaustupa",7582630,3368819,"68.297870484","23.817064365"
"Metsähallitus","Poskeisen kämppä",7045859,3404998,"63.501682407","25.088725231"
"Metsähallitus","Hirvasvuopion autiotupa",7653022,3306605,"68.891223342","22.181632389"
"Metsähallitus","Selkäsaari, autiotupa",7049528,3447458,"63.543428772","25.939937364"
"Metsähallitus","Haltin autio- ja varaustupa",7700086,3274107,"69.286336182","21.268108681"
"Metsähallitus","Lehtinen lounaiskärjen näkötorni",6691204,3473130,"60.331189647","26.510522213"
"Metsähallitus","Kaikunuora autiotupa",7646312,3534762,"68.897003926","27.860531752"
"Metsähallitus","Kärppätupa",7656191,3536994,"68.985265105","27.919733460"
"Metsähallitus","Suolistaipale autiotupa",7698782,3562424,"69.362330063","28.582132020"
"Metsähallitus","Kurtojoki autiotupa",7661236,3462865,"69.030423169","26.066254184"
"Metsähallitus","Kyläjoki tupa",7595241,3481758,"68.440726827","26.551149980"
"Metsähallitus","Pyhätunturi luontokeskus",7436871,3510618,"67.021196101","27.239673050"
"Metsähallitus","Prospehtoori kaivoskämppä",7590076,3517616,"68.394482587","27.424341266"
"Metsähallitus","Keloojan kullankaivajan tupa",7593123,3517992,"68.421775370","27.434009742"
"Metsähallitus","Karvaselän kummituskämppä",7593074,3517950,"68.421338736","27.432978476"
"Metsähallitus","Härkävaara",7550688,3572126,"68.032889791","28.723126921"
"Metsähallitus","Vieriharjun porokämppä",7550861,3586140,"68.030594454","29.058620732"
"Metsähallitus","Saunasaari autiotupa",7308691,3413135,"65.860070026","25.093280286"
"Metsähallitus","Kiehinen",7593126,3517066,"68.421859244","27.411458123"
"Metsähallitus","Keihäsjoki Tammikämppä",7023295,3597863,"63.298702952","28.948028273"
"Metsähallitus","Kivalonaapa niittypirtti",7389068,3464316,"66.590641887","26.191532330"
"Metsähallitus","Pahtavaaran kämppä",7525650,3374650,"67.790344840","24.024560162"
"Metsähallitus","Pahtavuoman autiotupa 2",7526660,3381909,"67.802426972","24.195284899"
"Metsähallitus","Pallastunturin luontokeskus",7554063,3377662,"68.046043203","24.063884345"
"Metsähallitus","Hämeaho autiotupa",7243836,3621026,"65.268031286","29.588303502"
"Metsähallitus","Savukosken luontotalo",7468136,3549344,"67.297667616","28.141293743"
"Metsähallitus","Hirvikaltio autiotupa",7510085,3591483,"67.663618097","29.152492481"
"Metsähallitus","Karhiniemen luontotupa, Puurijärvi-Isosuon kp",6799866,3266644,"61.237467381","22.649311325"
"Metsähallitus","Ulkokaapri autiotupa",7263363,3418604,"65.455186873","25.240788343"
"Metsähallitus","Iso-Riuskan autiotupa",7242696,3581590,"65.269955616","28.743624542"
"Metsähallitus","Pyhävasa autiotupa",7570666,3422005,"68.210293255","25.113560638"
"Metsähallitus","Kantokoski autiotupa",7240717,3600285,"65.247053456","29.142246138"
"Metsähallitus","Tuulikurun autiotupa",7463323,3393818,"67.239660168","24.536996304"
"Metsähallitus","Juurikkajoki autiotupa",7144890,3603633,"64.387129147","29.144404980"
"Metsähallitus","Toivakkalampi autiotupa",7321526,3497201,"65.987015764","26.934584745"
"Metsähallitus","Ontipanpuro autiotupa",7103832,3666221,"63.994831638","30.394058499"
"Metsähallitus","Moberginoja tupa",7594157,3496960,"68.431590914","26.921738738"
"Metsähallitus","Hämeen luontokeskus",6738073,3325125,"60.714359601","23.792767284"
"Metsähallitus","Moitakuru päivätupa",7599135,3523489,"68.475270911","27.569237307"
"Metsähallitus","Lehtovaara autiotupa",7260293,3579002,"65.428340955","28.698380948"
"Metsähallitus","Lomavaara Autiotupa",7307489,3534951,"65.859252386","27.761780578"
"Metsähallitus","Hietakalla autiotupa",7267885,3414609,"65.494696734","25.151819414"
"Metsähallitus","Valvatti autiotupa",7032342,3382276,"63.373712224","24.642830079"
"Metsähallitus","Siida Ylä-Lapin luontokeskus",7647615,3500713,"68.910858003","27.013474372"
"Metsähallitus","Siikamännikkön autiotupa",7440292,3367130,"67.022773963","23.946096691"
"Metsähallitus","Porttijärvi  autiotupa",7485482,3389298,"67.436507633","24.411065060"
"Metsähallitus","Muusanlampi  päivätupa",7522864,3398971,"67.774853440","24.602932861"
"Metsähallitus","Tarikkajärvi autiotupa",7472697,3588005,"67.329665540","29.041565659"
"Metsähallitus","Laitasaaren autiotupa",7223540,3598931,"65.093507211","29.101068548"
"Metsähallitus","Angelvaara palovartian kämppä",7494917,3527002,"67.540627415","27.629082941"
"Metsähallitus","Ivalon palvelupiste",7619410,3522062,"68.657144769","27.538736856"
"Metsähallitus","Isolaki autiotupa",7499356,3465815,"67.579645086","26.193075393"
"Metsähallitus","Saarijärvi autiotupa",7147734,3585056,"64.417745403","28.761240940"
"Metsähallitus","Uurrekarkea palovartijan maja",7576380,3445498,"68.266978946","25.677346420"
"Metsähallitus","Kunettikoski autiotupa",7437087,3445620,"67.018395050","25.748354392"
"Metsähallitus","Pihtijoki tupa",7542964,3561813,"67.966055801","28.471859439"
"Metsähallitus","Vuolittama  hirvikämppä",7520164,3399232,"67.750756705","24.611574496"
"Metsähallitus","Mikkelinsaaret luontoasema",7050515,3239676,"63.460720799","21.772434598"
