"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Vimpeli","Uimapaikka/Lakaniemi",7005113,3338306,"63.112613945","23.792342724"
"Tampere","Kaupin kilpahiihtokeskus, Kauppi",6826688,3330192,"61.510584744","23.806244856"
"Vimpeli","Lakeaharjun laskettelukeskus",7004558,3339179,"63.108032341","23.810156383"
"Inkoo","Fagervik simplats",6660882,3322358,"60.021437411","23.810547154"
"Muonio","Oloksen kilpahiihtokeskus",7541733,3366455,"67.930676149","23.811023189"
"Muonio","Olostunturin laskettelurinne",7541648,3366669,"67.930014059","23.816221336"
"Töysä","Vetolan ampumahiihtorata",6960081,3339982,"62.709955001","23.868884438"
"Tampere","Kaukajärvi, Riihiniemi",6822183,3334573,"61.472118607","23.892447231"
"Inkoo","Marsjö simplats",6663467,3327067,"60.046615534","23.892689720"
"Tampere","Riihiniemen talviuintipaikka",6822256,3334658,"61.472809049","23.893974350"
"Himanka","Pernun ampumahiihtoalue",7114451,3349039,"64.096733707","23.899704430"
"Nummi-Pusula","Keräkankareen urheilukeskus",6712673,3330413,"60.489014852","23.911330303"
"Kurikka","Pitkämön hiihto-ja leirikeskus",6950962,3264731,"62.587964124","22.415379152"
"Tornio","Puuluodon hiihtokeskus",7302575,3372074,"65.791471904","24.200836794"
"Pyhäjoki","Rautionperän avantouintipaikka",7152406,3366971,"64.444164076","24.233152353"
"Muhos","Holapan monttu",7198822,3447009,"64.882307321","25.877962451"
"Viitasaari","Hiekkalahden nuotiopaikka",6996719,3443860,"63.069202505","25.886049767"
"Heinola","Kylpylän talviuinti",6788560,3447716,"61.202306282","26.024328050"
"Vimpeli","Vatpakan hiihtokeskus",7008152,3341450,"63.141231504","23.851583232"
"Ulvila","Massin hiihtokeskus",6820610,3224543,"61.395495610","21.837913451"
"Ulvila","Pappilanlampi",6824146,3227824,"61.429413062","21.893900028"
"Säkylä","Arena",6784460,3242942,"61.084835198","22.230353958"
"Säkylä","Lomasäkylä",6768092,3251857,"60.944140413","22.416230618"
"Säkylä","Huovinrinteen hiihtokeskus",6778497,3257080,"61.040471060","22.499116478"
"Vampula","Ulkoilumajan kilpa- ja kuntoladut",6772494,3262760,"60.990216627","22.611352200"
"Säkylä","Katismaan avantouintikeskus",6779812,3247513,"61.046222080","22.320925436"
"Inkoo","Vassböle skidcentrum",6672299,3335846,"60.129389382","24.042939429"
"Inkoo","Djupträsk simplats",6671040,3337191,"60.118641949","24.068110750"
"Valkeakoski","Korkeakankaan rinnehiihtokeskus",6797221,3343643,"61.252177798","24.083301640"
"Nummi-Pusula","Kotojärvi",6712510,3342099,"60.492303573","24.123757715"
"Inkoo","Svenviken simplats",6662936,3340755,"60.047398632","24.138438065"
"Nummi-Pusula","Ulkoilukeskus alhovuori",6712767,3343071,"60.494987100","24.141215356"
"Hattula","Kalkkosten hiihtomaa",6774880,3356394,"61.056803723","24.337523150"
"Hattula","Parolannummen ampumahiihtorata",6772256,3356634,"61.033368131","24.343932233"
"Orivesi","Lepran kuntorata ja kilpahiihtokeskus",6842065,3359791,"61.660302403","24.349864342"
"Vihti","Rinnehiihtokeskus Vihti-Ski",6698983,3355024,"60.375887227","24.368464230"
"Merijärvi","Ristivuoren vapaa-aikakeskus",7141231,3373954,"64.346686677","24.387555700"
"Alavieska","Lumikurun maastohiihtokeskus",7125339,3374964,"64.204650393","24.421764595"
"Helsinki","Pihkapuisto/lasten kahluuallas",6684391,3381325,"60.253584190","24.853482785"
"Helsinki","Konalan puisto/lasten kahluuallas",6682124,3381262,"60.233233069","24.853677184"
"Helsinki","Piianpuisto/lasten kahluuallas",6683381,3381512,"60.244580027","24.857449677"
"Helsinki","Nuolipuisto/lasten kahluuallas",6681635,3381789,"60.229000643","24.863467647"
"Helsinki","Ulvilanpuisto/lasten kahluuallas",6679144,3381848,"60.206675742","24.865984632"
"Helsinki","Trumpettikujan puisto/lasten kahluuallas",6682624,3382003,"60.237933187","24.866750011"
"Helsinki","Munkinpuisto/lasten kahluuallas",6678360,3382151,"60.199731706","24.871900716"
"Helsinki","Laurinniityn leikkip./lasten kahluuallas",6681954,3382598,"60.232096007","24.877871704"
"Helsinki","Vanhaistenpuisto/lasten kahluuallas",6683212,3382865,"60.243456188","24.881958585"
"Helsinki","Vattuniemen venesatama",6672946,3383046,"60.151429838","24.891143105"
"Helsinki","Haagan puisto/lasten kahluuallas",6679818,3383314,"60.213143653","24.892015988"
"Nivala","Pyssymäen hiihtoalue",7089236,3396663,"63.888218910","24.892754964"
"Helsinki","Meilahden liikuntapuisto/laskettelurinne",6677198,3383292,"60.189637841","24.893127253"
"Helsinki","Aalberginpuisto/lasten kahluuallas",6681556,3383626,"60.228821559","24.896641015"
"Helsinki","Ourit/talviuintipaikka",6675194,3383560,"60.171739933","24.899103498"
"Helsinki","Paloheinän ulkoilumaja/laskettelurinne",6684582,3384631,"60.256249029","24.913038400"
"Helsinki","Hesperian esplanadi/lasten kahluuallas",6675673,3384672,"60.176352253","24.918850508"
"Helsinki","Sannanpuisto/lasten kahluuallas",6678111,3384927,"60.198291860","24.922059756"
"Helsinki","Maunulan leikkipuisto/lasten kahluuallas",6681733,3385428,"60.230920507","24.929038061"
"Helsinki","Sysiniitty/lasten kahluuallas",6684345,3385701,"60.254425577","24.932485090"
"Helsinki","Sinebrychoffin puisto/lasten kahluuallas",6673979,3385468,"60.161382165","24.934137350"
"Tuusula","Jokelan lampi",6716537,3387103,"60.543557954","24.939610897"
"Helsinki","Kimmonpuisto/lasten kahluuallas",6679392,3386083,"60.210106729","24.942168118"
"Helsinki","Ilolanpuisto/lasten kahluuallas",6676361,3386102,"60.182925263","24.944212408"
"Kinnula","Lossivuoren laavu",7019303,3406325,"63.263924400","25.130909087"
"Helsinki","Mustankivenpuisto/kahluuallas",6678424,3397089,"60.204354023","25.141052274"
"Hollola","Heinsuon urheilukeskus",6765770,3419741,"60.993106653","25.513777870"
"Oulu","Kuivasjärven auran hiihtokeskus",7221469,3432114,"65.082668800","25.552763097"
"Hollola","Messilän laskettelukeskus",6768241,3421929,"61.015714592","25.553185245"
"Korpilahti","Korpilahden satama",6879485,3424636,"62.014195411","25.557704847"
"Kempele","Pyrinnön hiihtomaja",7201301,3431931,"64.901796880","25.558650732"
"Kempele","Köykkärin hiihtokeskus",7201275,3431980,"64.901573760","25.559697781"
"Askola","Maastohiihtokeskus",6713350,3423437,"60.523536166","25.602665872"
"Viitasaari","Toulauden ampumahiihtoalue",7002966,3454053,"63.126682732","26.085893551"
"Konnevesi","Uimapaikka Tankolampi",6941846,3453662,"62.578343628","26.095178956"
"Lumijoki","Ampumahiihtoalue",7192525,3413284,"64.818791039","25.170376899"
"Jämsänkoski","Hiihtokeskus",6871318,3404225,"61.936328844","25.172568050"
"Sipoo","Talma Ski",6699886,3400019,"60.397614291","25.183200536"
"Lumijoki","Viinavuoren luontokeidas",7193183,3414518,"64.825007596","25.195950959"
"Helsinki","Maasälvänpuisto/lasten kahluuallas",6682298,3390089,"60.237274452","25.012797082"
"Helsinki","Filpuksenpuisto/lasten kahluuallas",6683534,3390378,"60.248439315","25.017340370"
"Helsinki","Herttoniemen liikuntapuisto/laskettelur.",6679156,3390968,"60.209327213","25.030346271"
"Helsinki","Herttoniemen liikuntapuisto/hiihtomaa",6679034,3391087,"60.208264715","25.032556762"
"Helsinki","Herttoniemen leikkipuisto/kahluuallas",6677889,3391080,"60.197992097","25.033045824"
"Helsinki","Rudolfin leikkipuisto/lasten kahluuallas",6674962,3391357,"60.171810471","25.039603624"
"Helsinki","Myllynsiiven leikkipuisto/kahluuallas",6680468,3393040,"60.221645764","25.067000944"
"Kinnula","Riuttasaaren laavu",7028954,3404091,"63.349866970","25.080693137"
"Helsinki","Puotilan leikkimäki/lasten kahluuallas",6679393,3394861,"60.212477170","25.100395235"
"Helsinki","Haruspuisto/lasten kahluuallas",6678262,3396016,"60.202628200","25.121796939"
"Helsinki","Mellunmäen boulderit/kalliokiipeilyseinä",6682325,3396246,"60.239134107","25.123859865"
"Uurainen","Maastohiihtokeskus",6934051,3419194,"62.502489059","25.428541480"
"Uurainen","Uimapaikka kuukanpuisto",6933400,3419588,"62.496736076","25.436489976"
"Uurainen","Uimapaikka ,ala-aste",6933487,3419619,"62.497523107","25.437050338"
"Oulu","Heinäpään laskettelukeskus",7212318,3427114,"64.999556661","25.451254574"
"Uurainen","Uimapaikka jokihaara",6928508,3421358,"62.453239277","25.473061261"
"Ylikiiminki","Kilpahiihtokeskus",7214040,3461618,"65.020792836","26.182091871"
"Pyhäjärvi","Niinimäen ampumarata",7052114,3459576,"63.568219698","26.182928456"
"Lahti","Urheilukeskus kilpaladut",6764469,3426128,"60.982683619","25.632261707"
"Jyväskylän mlk","Tikkakosken hiihtomaa",6921782,3429850,"62.394611706","25.640270374"
"Porvoo","Kokonniemen hiihtolatu",6697531,3425817,"60.382046852","25.651891017"
"Tyrnävä","Uimapaikka Murto",7194649,3437075,"64.843160198","25.670213971"
"Jyväskylä","Laajavuoren talviurheilukesk./laskettelu",6906306,3432390,"62.256259819","25.695404327"
"Jyväskylä","Laajavuoren talviurheilukeskus/hiihto",6906355,3432399,"62.256700991","25.695558490"
"Äänekoski","Liikuntapuiston hiihtokeskus",6946267,3434177,"62.615034892","25.714486581"
"Sysmä","Urheilutalo, kilpahiihtokeskus",6823275,3432689,"61.511454291","25.732351304"
"Mikkeli","Rantakylän hiihtomaa",6840535,3511401,"61.672066399","27.212056326"
"Liperi","Pärnävaaran urheilukeskus",6951457,3630886,"62.644334063","29.549101882"
"Kuhmo","Kalevalan liikuntakeskus",7115892,3625902,"64.119817830","29.581077229"
"Hamina","Tarmola urheilumaja",6717319,3513149,"60.566266645","27.236662986"
"Iisalmi","Paloisvuoren laskettelurinne",7051132,3512408,"63.561528197","27.246214668"
"Lapinlahti","Santurin keidas",7034435,3517412,"63.411533372","27.345094342"
"Lapinlahti","Honkahrjun kuntorata n.o 2",7032308,3519179,"63.392362515","27.380210745"
"Lapinlahti","Haminamäen hiihtokilpailukeskus",7028495,3520257,"63.358097281","27.401296723"
"Inari","Saariselän laskettelurinne",7593520,3518622,"68.425293973","27.449423411"
"Virolahti","Klamilan kilpahiihtokeskus",6711081,3526335,"60.509642112","27.476262067"
"Lapinlahti","Alapitkän maastohiihtokeskus",7011401,3527493,"63.204269566","27.542973641"
"Virolahti","Harjun kilpahiihtokeskus",6713838,3530087,"60.534124066","27.544967331"
"Kuopio","Puijon kilpahiihtokeskus",6978461,3532985,"62.908306115","27.645540385"
"Siilinjärvi","Patakukkulan laskettelukeskus",6996286,3532959,"63.068218473","27.648563197"
"Kuopio","Puijon laskettelukeskus",6978627,3533245,"62.909771864","27.650687951"
"Lemi","Kotalahden ampumahiihtokeskus",6767661,3535673,"61.016678095","27.656509013"
"Kajaani","Pöllyvaaran kilpalatu",7126172,3535615,"64.233064026","27.730427776"
"Taivalkoski","Taivalvaaran hiihtokeskus",7275045,3555586,"65.565437367","28.200101865"
"Ristijärvi","Saukkovaaran laskettelukeskus",7155482,3560190,"64.492504523","28.248636914"
"Rautavaara","Kk:n ampumahiihtoalue",7047358,3562519,"63.522411475","28.252882353"
"Hyrynsalmi","Ukkohallan rinnekeskus",7181752,3560873,"64.727958104","28.273817336"
"Sotkamo","Vuokatin laskettelukeskus",7115649,3562258,"64.134920495","28.275033666"
"Rantasalmi","Maastohiihto ja kuntoilukeskus Harjupirtti",6885338,3567285,"62.068295101","28.283778956"
"Sotkamo","Vuokatin hiihtomaa",7116370,3562852,"64.141279216","28.287528035"
"Posio","Kirikeskuksen laskettelurinteet",7335484,3558392,"66.106839529","28.287691099"
"Posio","Kirintövaaran kilpahiihtokeskus",7334609,3558494,"66.098975812","28.289548232"
"Tammisaari","Siminrättningens badplats",6657005,3300840,"59.976836142","23.429150792"
"Siikajoki","Uimapaikka",7200905,3396848,"64.889238269","24.818480626"
"Kinnula","Uimala",7031513,3397701,"63.371036338","24.951507867"
"Vantaa","Vantaan ulkoilukeskus Kuusijärvi uinti",6690628,3395903,"60.313527897","25.113385771"
"Karijoki","Kakkorin kilpahiihtokeskus",6925965,3229466,"62.340502336","21.771190135"
"Teuva","Parra rinnehiihtokeskus",6936096,3233049,"62.433610772","21.824429432"
"Teuva","Parra maastohiihtokeskus",6935423,3233202,"62.427706700","21.828420701"
"Noormarkku","Kirkkokallion hiihtokeskus",6842370,3226913,"61.591650635","21.849960988"
"Pori","Ruosniemen laskettelurinne",6832901,3227454,"61.507404060","21.874119098"
"Heinola","Kylpylän talviuinti",6788560,3447716,"61.202306282","26.024328050"
"Mustasaari","Österhankmo badplats",7025354,3245767,"63.240287394","21.933906540"
"Vähäkyrö","Merikaarron kilpahiihtokeskus",7005699,3244810,"63.063964764","21.945683207"
"Mustasaari","Vassor badplats",7018893,3247691,"63.183901911","21.982082651"
"Maksamaa","Särkimo badplats",7031001,3250067,"63.293773034","22.010413753"
"Maksamaa","Finnholmen badplats",7021022,3251371,"63.205489557","22.051636508"
"Maksamaa","Grisgrund badplats",7038226,3253870,"63.360982582","22.074894965"
"Kokemäki","Järilänvuori /maastohiihto",6804221,3242209,"61.261070480","22.189914372"
"Kauhajoki","Sotkan laskettelukeskus",6932292,3253368,"62.413628788","22.221858048"
"Turku","Hirvensalon laskettelurinne",6710124,3237325,"60.416354257","22.226649615"
"Kauhajoki","Sotkan hiihtourheilukeskus",6932218,3253883,"62.413307947","22.231892894"
"Kauhajoki","Sotkan hiihto- ja ampumahiihtostadion",6931930,3254108,"62.410881495","22.236641076"
"Kauhajoki","Hyypän ampumahiihtoalue",6922005,3253516,"62.321746581","22.239346788"
"Kiukainen","Kotkaniemen kesäsiirtola",6783247,3243552,"61.074385067","22.243250631"
"Kauhajoki","Monitoimikeskus asuuli",6935393,3256108,"62.443162666","22.270303194"
"Kokemäki","Pitkäjärven toimintakeskus /uinti",6799198,3246376,"61.218875419","22.274061758"
"Pöytyä","Uimapaikka",6768876,3244986,"60.946785325","22.288853132"
"Köyliö","Köyliön ampumahiihtoalue",6788620,3246927,"61.124625176","22.298418512"
"Kauhajoki","Laitasaaren ampumahiihtoalue",6941527,3259587,"62.500282347","22.328874890"
"Turku","Maarian mahti ry ulkoilumaja",6720681,3244869,"60.515622263","22.349598796"
"Kurikka","Paavalin ampumahiihtoalue",6957617,3262615,"62.646125702","22.365041061"
"Isokyrö","Ylipään hiihtoalue",6993936,3265835,"62.972987648","22.376844492"
"Ilmajoki","Ollinjärvi",6972878,3264458,"62.783787309","22.379554485"
"Lieto","Metsäpirtti",6720182,3246548,"60.512218451","22.380702449"
"Kauhajoki","Nummijärven ampumahiihtoalue",6916246,3263416,"62.276636977","22.437513767"
"Ylistaro","Kärkimäen ampumahiihtoalue/kilpahiihtok.",6993970,3271390,"62.976828343","22.485979251"
"Ilmajoki","Ilmajoen hiihtokeskus",6959800,3269106,"62.669774688","22.488238012"
"Kokemäki","Kauvatsanjoki, Yttilä 1",6811259,3259058,"61.334791270","22.493867165"
"Kokemäki","Kauvatsanjoki, Rutuna 2",6810096,3259571,"61.324703870","22.504913750"
"Kokemäki","Kauvatsanjoki, Ahvenus 3",6806940,3260407,"61.296983842","22.524510874"
"Kankaanpää","Ampumahiihto- ja hiihtoalue",6861005,3264144,"61.782960231","22.524816409"
"Lieto","Parmaharjun hiihtokeskus",6721139,3255374,"60.526238898","22.539692872"
"Alastaro","Virttaan kilpahiihtokeskus",6769424,3264873,"60.964008380","22.654038136"
"Jämijärvi","Jämin hiihtokeskus",6859861,3274248,"61.778825508","22.717172357"
"Jämijärvi","Jämin hiihtohissi",6859918,3275127,"61.779853653","22.733710029"
"Luoto","Skidskyttebana",7080283,3290125,"63.760383347","22.741386243"
"Jalasjärvi","Kiuaskallio rinnehiihtokeskus",6940612,3281966,"62.505930743","22.763057178"
"Jalasjärvi","Kiuaskallio maastohiihtokeskus",6940060,3281998,"62.501010390","22.764378425"
"Seinäjoki","Jouppilanvuoren laskettelukeskus",6971178,3286190,"62.781905263","22.806280049"
"Seinäjoki","Jouppilanvuoren hiihtostadion",6970857,3286404,"62.779157774","22.810869254"
"Soini","Vuorenmaan rinnehiihtokeskus",6984567,3356397,"62.936159088","24.168214136"
"Lohja","Muijalan kilpahiihtokeskus",6689796,3344249,"60.289529354","24.180496002"
"Saarijärvi","Hiihdon tekniikkarata Lannevesi",6945712,3417316,"62.606657978","25.386457149"
"Ii","Illinsaaren hiihtokeskus",7249331,3425127,"65.330955781","25.389134487"
