siteName,X,Y
Henkilökunnan asuntola (nyk. hevoshoitokoulu),530392.763789742,6710994.67650007
Oppilasasuntola Puskala,530288.082796404,6711135.99773455
Oppilasasuntola Jussila,530239.110727131,6711120.00099064
Luokkarakennus,530330.070635559,6711109.0032292
Asuinrakennus Putkinotko,530178.231658693,6711018.45166071
Asuinrakennus Välitalo,530156.973872098,6711067.92159125
Asuinrakennus Ylätalo,530126.365298072,6711022.08092198
Viljamakasiini,530169.128246591,6710971.06130688
Kalustovaja,530221.31619514,6710993.05682975
Luhtiaitta,530159.612542273,6711124.24012777
Kartano,216866.55908544,6726127.86618321
Itäinen sivurakennus,216898.025227274,6726134.44484414
Läntinen sivurakennus,216860.564356637,6726162.75908086
Puistopaviljonki,216773.018227747,6726038.75432167
Leikkimökki,216778.056438612,6726180.42548492
Päärakennus,250353.345063606,6704985.8095875
Vilja-aitta,250231.743597773,6705079.42053327
Liiteri,250373.308252647,6705011.82429229
Saarnahuone ja sen suojarakennus,251765.660291243,6800271.47446681
Päärakennus,218652.279126176,6732519.90510223
Itäinen piharakennus,218689.269983688,6732504.90815481
Läntinen piharakennus,218648.279891693,6732475.92405444
Käymälä,218660.277595144,6732450.92914208
Presidentin kesäasunto,225187.803381657,6713932.76845998
Portinvartijan asunto,225164.014120863,6713909.66316299
Musiikkipaviljonki,225237.707231336,6713925.71989469
Karhupaviljonki,225138.839558227,6713895.17611179
Pergola,225205.738093001,6713775.45048159
Puutarhapaviljonki,225220.349729093,6713662.55346146
Villa Waltonen,225197.112939867,6713622.16168309
Kivikellari,225063.752900068,6713715.2727306
Puutarhamestarin huvila,225088.03691152,6713860.88309203
Korjauspaja,221135.985149034,6688416.57220771
Viljamakasiini,221152.938604906,6688402.81500795
Maitohuone,221154.497069478,6688442.34696133
Renkitupa (nyk. asuinrakennus),221154.208464928,6688483.95849143
Aitta,221145.500853352,6688478.58958425
Valkoinen talo (nyk. asuinrakennus),221135.506890065,6688462.59284034
Porttirakennus,221223.762161565,6688716.89107867
Päärakennus,221217.470582367,6688752.49383184
Aitta,221250.462205395,6688706.36322159
Liiteri,221269.040092594,6688699.84454845
Aitta,221287.296391865,6688700.41443245
Puutarhan varastokellari,381114.22877355,6691859.75135858
Opistola,349184.035560668,6692992.420807
Miehelä,349214.033942217,6693076.38371659
Vanhala,349266.007498815,6693130.37272729
Johtola,349314.987813933,6693119.37496585
Huvimaja 1 Vanhala,349277.007455105,6693165.35560662
Päärakennus,489837.293755607,6728978.62591933
Viljamakasiini (nyk. kahvila),489753.730369511,6729080.7351353
Viljamakasiini (nyk. näyttelytila),489820.290824668,6728899.66199221
