"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Metsähallitus","UmpiValkeinen käymälä",7268588,3610840
"Metsähallitus","Lihapyörre p-paikan käymälä",7270080,3609123
"Metsähallitus","Lihapyörre laavu käymälä",7270223,3609061
"Metsähallitus","Puukkojärvi autiotupa käymälä",7268279,3612179
"Metsähallitus","Naurissaari laavu",6998501,3433209
"Metsähallitus","Louhenkoski laavun tulentekopaikka",7185069,3642583
"Metsähallitus","Siikaniva kuivakäymälä",7185987,3639916
"Metsähallitus","Vaskolompolo kuivakäymälä",7613647,3425731
"Metsähallitus","Ala-Lemmenjoki tulipaikka kuivakäymälä",7638590,3473975
"Metsähallitus","Ala-Lemmenjoki tulipaikka",7638575,3474003
"Metsähallitus","Talvilahti kuivakäymälä",7078804,3626413
"Metsähallitus","Talvilahti tulentekopaikka",7078819,3626396
"Metsähallitus","Juoksetuksenaho tulentekopaikka",7236218,3628063
"Metsähallitus","Juoksetuksenaho polttopuusuoja-kuivakäymälä",7236209,3628086
"Metsähallitus","Kukonlampi tulentekopaikka",7077034,3628180
"Metsähallitus","Arpainen käymälä/liiteri kämpällä",6957296,3365692
"Metsähallitus","Rompanpolun käymälä",7392598,3459724
"Metsähallitus","Rovajärvi tulipaikka",7645049,3491009
"Metsähallitus","Hiltuslahti laavu tulentekopaikka",7077413,3626399
"Metsähallitus","Hiltuslahti laavu",7077421,3626420
"Metsähallitus","Hiltuslahti laavu kuivakäymälä",7077401,3626449
"Metsähallitus","Varkaanjärvi kota",7569085,3378017
"Metsähallitus","Mujeniemi kuivakäymälä",7077221,3625235
"Metsähallitus","Mujeniemi tulentekopaikka",7077270,3625221
"Metsähallitus","Haatainiemi kuivakäymälä",7045681,3555128
"Metsähallitus","Vongankoski kuivakäymälä",7038445,3555135
"Metsähallitus","Huuhkajanniemi kuivakäymälä",7036529,3555090
"Metsähallitus","Yrttilampi kuivakäymälä",7057109,3575838
"Metsähallitus","Hietakangas kuivakäymälä",7196427,3590551
"Metsähallitus","Auttijoki käymälä",7355336,3508355
"Metsähallitus","Piippukallio laavu",7340156,3523427
"Metsähallitus","Neiti-Karjala käymälä",7540786,3473988
"Metsähallitus","Komion luontotorni",6733091,3352243
"Metsähallitus","Luutasuon tulentekopaikka",6733107,3352769
"Metsähallitus","Haatainiemi laavu",7045705,3555093
"Metsähallitus","Haatainiemi tulentekopaikka",7045705,3555091
"Metsähallitus","Rouskunhiekka kuivakäymälä",7045435,3556402
"Metsähallitus","Rouskunhiekka tulentekopaikka",7045405,3556380
"Metsähallitus","Vongankoski laavu",7038466,3555137
"Metsähallitus","Huuhkajanniemi laavu",7036470,3555083
"Metsähallitus","Huuhkajanniemi tulentekopaikka",7036465,3555084
"Metsähallitus","Vaarunvuori nuotiopaikka",6870057,3432228
"Metsähallitus","Kirkasvetinen p-paikka käymälä",7268623,3609467
"Metsähallitus","Kirkasvetinen tulentekopaikka nro 2 käymälä",7268333,3609328
"Metsähallitus","Huosivirta p-paikka käymälä",7266260,3614354
"Metsähallitus","Ryssänmarimo käymälä",7518995,3510901
"Metsähallitus","Ryssänmarimo tulipaikka",7518990,3510914
"Metsähallitus","Pallasjärvi Pallaslompolon kota",7548874,3382910
"Metsähallitus","Korkeasaaren käymälä",7316422,3617597
"Metsähallitus","Korkeasaaren tulentekopaikka",7316496,3617647
"Metsähallitus","Karhusaaren kota",7328709,3556582
"Metsähallitus","Yrttilampi tulentekopaikka",7057117,3575786
"Metsähallitus","Karhusaaren käymälä",7328725,3556527
"Metsähallitus","Lossujärven autiotuvan käymälä",7691552,3263172
"Metsähallitus","Paimensaari kuivakäymälä",6947099,3570214
"Metsähallitus","Paimensaari tulentekopaikka",6947141,3570190
"Metsähallitus","Kutukosken autiotuvan käymälä",7640228,3298041
"Metsähallitus","Venekoski  P-paikka",7096937,3622654
"Metsähallitus","Aatsan autiotuvan käymälä",7630714,3289271
"Metsähallitus","Kylmänkolonlampi, laavu",7043901,3444183
"Metsähallitus","Kylmänkolonlampi. tulentekopaikka",7043898,3444181
"Metsähallitus","Kylmänkolonlampi, kuivakäymälä",7043924,3444176
"Metsähallitus","Hirvasvuopion autiotuvan käymälä",7653003,3306607
"Metsähallitus","Neuhkaman laavu",7638991,3305674
"Metsähallitus","Saitsijoen laavu",7630452,3307252
"Metsähallitus","Lehtoaapa käymälä",7403178,3578409
"Metsähallitus","Pietarsaari, laavu 1",7059120,3450865
"Metsähallitus","Pietarsaari grillikatos",7059154,3450835
"Metsähallitus","Pietarsaari, kuivakäymälä 1",7059182,3450847
"Metsähallitus","Pietarsaari laavu 2",7059255,3450971
"Metsähallitus","Pietarsaari kuivakäymälä 2",7059248,3450912
"Metsähallitus","Honkasaari, tulentekopaikka",7056618,3449305
"Metsähallitus","Parvialansaari, laavu",7056259,3450816
"Metsähallitus","Mustaniemi käymälä",6896865,3445128
"Metsähallitus","Ketvene käymälä",6905417,3445928
"Metsähallitus","Keinässaaren tulipaikka",7316310,3625596
"Metsähallitus","Ketvene nuotiopaikka",6905422,3445890
"Metsähallitus","Kirkkoniemen nuotiopaikka",6921632,3451378
"Metsähallitus","Parvialansaari, tulentekopaikka",7056258,3450815
"Metsähallitus","Kirkkoniemen puucee",6921694,3451454
"Metsähallitus","Selkäsaari, krillikatos",7049503,3447446
"Metsähallitus","Okspohjan nuotiopaikka",6881661,3410702
"Metsähallitus","Selkäsaari, tulentekopaikka",7049503,3447479
"Metsähallitus","Kirkonnurkan laavu",7371612,3609774
"Metsähallitus","Okspohjan puucee",6881651,3410731
"Metsähallitus","Kokkopuro, laavu",7092068,3460623
"Metsähallitus","Kokkopuro, pottopuusuoja",7092052,3460611
"Metsähallitus","Kokkopuro, tulentekopaikka",7092067,3460619
"Metsähallitus","Piippukallio käymälä",7340171,3523414
"Metsähallitus","Jyrävän pohjoispuolen tulentekopaikka",7353510,3609589
"Metsähallitus","Jyrävän pohjoispuolen käymälä",7353558,3609573
"Metsähallitus","Reposuo luontotorni",7030132,3662617
"Metsähallitus","Suomu luontotuvan kuivakäymälä",7008631,3688186
"Metsähallitus","Sissankiselän mutterikota",7598591,3361336
"Metsähallitus","Kivalon autiotupa käymälä",7310019,3410191
"Metsähallitus","Kivalo tulentekopaikka",7310010,3410211
"Metsähallitus","Valkmusa luontotorni",6717635,3484632
"Metsähallitus","Suuri-Pisin nuotiokatos",6704489,3534950
"Metsähallitus","Julmatlammit kuivakäymälä 1",6963270,3405060
"Metsähallitus","Kråkskärin vanha käymälä",6662201,3223918
"Metsähallitus","Kråkskärin yleisökäymälä",6662015,3223894
"Metsähallitus","Sorsa liiteri-käymälä",7483125,3612122
"Metsähallitus","Ulko-Tammio eteläisen telttailualueen tulipaikka",6692979,3525418
"Metsähallitus","Lanskeri itärannan tulipaikka",6696922,3528088
"Metsähallitus","Tunturilammit käymälä",7431496,3462985
"Metsähallitus","Julmakallio laavu",7341916,3521889
"Metsähallitus","Tyllylahti veneilytukikohta kota",7646760,3536257
"Metsähallitus","Kärppäsaari veneilytukikohta kota",7656163,3536974
"Metsähallitus","Julmakallio käymälä",7341900,3521891
"Metsähallitus","Kanjoninlaavu 1",7340369,3523818
"Metsähallitus","Kanjoninlaavu 2",7340379,3523818
"Metsähallitus","Kanjonin käymälä",7340400,3523824
"Metsähallitus","Pirunkirkko laavu",7342829,3521065
"Metsähallitus","Pirunkirkko käymälä",7342849,3521085
"Metsähallitus","Saukkovaara käymälä",7340393,3524695
"Metsähallitus","Pallasjärvi Pallaslompolon veneenlaskupaikka",7548901,3382876
"Metsähallitus","Pallasjärvi Pallaslompolo liiteri",7548861,3382917
"Metsähallitus","Pallasjärvi Punainenhiekka kuivakäymälä",7549512,3384523
"Metsähallitus","Pallasjärvi Punainenhiekka tulipaikka",7549534,3384503
"Metsähallitus","Koivulampi käymälä",7334517,3528669
"Metsähallitus","Pallasjärvi Hirvaslahti kota",7553366,3380829
"Metsähallitus","Pallasjärvi Hirvaslahti liiteri",7553384,3380828
"Metsähallitus","Pallasjärvi Hirvaslahti veneenlaskupaikka",7553355,3380848
"Metsähallitus","Suivakkojärvi kuivakäymälä",7624357,3481594
"Metsähallitus","Kuoppajärvi tulisija A",7629677,3494988
"Metsähallitus","Kuoppajärvi tulisija B",7629695,3494934
"Metsähallitus","Kopsusjärventie käymälä",7576691,3518798
"Metsähallitus","Inari retkeilyalue Jäniskoski tulipaikka.",7646285,3498784
"Metsähallitus","Julmatlammit tulentekopaikka/katos",6964347,3404890
"Metsähallitus","Inari retkeilyalue Päiväpuolijärvi wc",7642600,3495084
"Metsähallitus","Inari retkeilyalue Laurin laavu",7645535,3497340
"Metsähallitus","Inari retkeilyalue Päiväpuolijärvi tulentekopaikka",7642586,3495093
"Metsähallitus","Inari retkeilyalue Laurinlaavu WC",7645556,3497333
"Metsähallitus","Inari retkeilyalue Karipääjärvi wc",7638939,3494842
"Metsähallitus","Inari retkeilyalue tuulijärvi WC",7640254,3505367
"Metsähallitus","Inari retkeilyalue Kivenjärvi wc",7642508,3498288
"Metsähallitus","Inari retkeilyalue Tuulijärven puolikota",7640254,3505352
"Metsähallitus","Inari retkeilyalue haapakoski päivätupa wc",7645711,3498016
"Metsähallitus","Inari retkeilyalue Otsamo wc",7644601,3493725
"Metsähallitus","Inari Haapakoski tulipaikka 2",7645668,3498335
"Metsähallitus","Inari retkeilyalue Kettujoki tulipaikka",7648685,3489945
"Metsähallitus","Inari retkeilyalue Kettujoki WC",7648711,3489931
"Metsähallitus","Inari retkeilyalue Keskitaimenjärvi tulipaikka",7641312,3496433
"Metsähallitus","Inari retkeilyalue Taimenjärvi wc",7641337,3496436
"Metsähallitus","Inari retkeilyalue Oi Juutua polku puolikota",7646185,3499172
"Metsähallitus","Inari retkeilyalue Oi Juutuapolku wc",7646171,3499188
"Metsähallitus","Hankosaaren nuotiopaikka",6794109,3440526
"Metsähallitus","Hankosaaren puucee",6794086,3440526
"Metsähallitus","Hankosaaren laavu",6794089,3440507
"Metsähallitus","Valtionkärjen laavu",6794404,3434538
"Metsähallitus","Valtionkärjen puucee",6794426,3434511
"Metsähallitus","Selkäsaari tulipaikka",7010866,3448369
"Metsähallitus","Gamajotnsuohppasaja  kotalaavu",7724951,3492642
"Metsähallitus","Bajimus Nammajavri kotalaavu",7749769,3497198
"Metsähallitus","Nammalakuru tulipaikka 1",7563566,3377706
"Metsähallitus","Pippovuoman laavu",7578616,3374500
"Metsähallitus","Pallasjärvi alaniitty tulipaikka",7551361,3381698
"Metsähallitus","Miekojärvi Koutusjokisuun veneenlaskupaikka",7393100,3381765
"Metsähallitus","Juurakko-ojan-latva kuivakäymälä",7626045,3466555
"Metsähallitus","Juurakko-ojan-latva sääsuoja",7625981,3466535
"Metsähallitus","Juurakko-ojan-latva tulentekopaikka",7625983,3466524
"Metsähallitus","Julmatlammit kuivakäymälä 2",6964348,3404909
"Metsähallitus","Joenkielinen tulentekopaikka",7626842,3464478
"Metsähallitus","Joenkielinen tulipaikka kuivakäymälä",7626846,3464495
"Metsähallitus","Kaikunuora tulisija",7646323,3534752
"Metsähallitus","Kaikunuora kuivakäymälä",7646268,3534778
"Metsähallitus","Röyttä kota",7243100,3416561
"Metsähallitus","Suovasaari sääsuoja",7649274,3517032
"Metsähallitus","Suovasaari tulipaikka",7649263,3517044
"Metsähallitus","Suolistaipale kota",7698686,3562490
"Metsähallitus","Suolistaipale polttopuusuoja kuivakäymälä",7698705,3562515
"Metsähallitus","Pisteri kuivakäymälä",7678642,3550605
"Metsähallitus","Pisteri tulipaikka",7678619,3550634
"Metsähallitus","Nellim.Uittorännin autopaikka kuivakäymälä.",7642880,3558426
"Metsähallitus","Uittoränni wc",7642658,3558372
"Metsähallitus","Ahvenlampi, pysäköintialue",7069204,3392374
"Metsähallitus","Ahvenlampi, tulentekopaikka 1",7069188,3392382
"Metsähallitus","Maurasaari tulipaikka",7639712,3526185
"Metsähallitus","Kahkusaari tulipaikka",7659099,3526546
"Metsähallitus","Petäjäsaari kuivakäymälä",7647746,3523492
"Metsähallitus","Petäjäsaari sääsuoja",7647806,3523509
"Metsähallitus","Petäjäsaari tulentekopaikka",7647815,3523521
"Metsähallitus","Oahojoki kuivakäymälä",7617029,3463100
"Metsähallitus","Taimenjärvi kuivakäymälä",7607620,3473997
"Metsähallitus","Taimenjärvi tulipaikka",7607594,3473989
"Metsähallitus","Heikkilä kuivakäymälä",7649046,3476650
"Metsähallitus","Heikkilä tulipaikka",7649078,3476636
"Metsähallitus","Vaskojoki kuivakäymälä",7635060,3444141
"Metsähallitus","Vaskojoki tulipaikka",7635029,3444100
"Metsähallitus","Siikajärvi kuivakäymäla",7636058,3440091
"Metsähallitus","Puskun aitta kuivakäymälä",7616281,3450026
"Metsähallitus","Matti Mustan tupa kuivakäymälä",7645051,3474229
"Metsähallitus","Matti Mustan tupa tulipaikka",7645101,3474216
"Metsähallitus","Suivakkojärvi tulipaikka",7624367,3481608
"Metsähallitus","Paaraskalla kuivakäymälä",7578909,3440618
"Metsähallitus","Paaraskalla tulipaikka",7578945,3440585
"Metsähallitus","Postijoki kuivakäymälä",7616214,3436052
"Metsähallitus","Njurgalahti P-alue wc",7630042,3468660
"Metsähallitus","Poikkipuoleinen tulipaikka",7362510,3531748
"Metsähallitus","Njurgalahti opastustupa wc/ekopiste",7631237,3469498
"Metsähallitus","Juurakko-oja yleinenlaituri kuivakäymälä",7631359,3469397
"Metsähallitus","Naskama huoltotupa kuivakäymälä",7585438,3436005
"Metsähallitus","Naskama huoltotupa tulipaikka",7585465,3435980
"Metsähallitus","Sotkajärvi puolilaavu",7628394,3465023
"Metsähallitus","Searikniva tulipaikka tulentekopaikka",7627166,3462615
"Metsähallitus","Searikniva tulipaikka tulentekopaikka",7627046,3462672
"Metsähallitus","Searikniva tulipaikka kuivakäymälä",7627074,3462646
"Metsähallitus","Searikniva tulipaikka tulentekopaikka",7627067,3462631
"Metsähallitus","Kultahamina telttailualue tulentekopaikka",7619354,3453944
"Metsähallitus","Hirvikuru levähdyspaikka kuivakäymälä",7619813,3451789
"Metsähallitus","Kulhanvuori kuivakäymälä",6942929,3395808
"Metsähallitus","Morgam-oja kuivakäymälä",7621212,3450628
"Metsähallitus","Morgam-oja tulipaikka",7621196,3450599
"Metsähallitus","Morgam-oja telttaalue tulipaikka",7621251,3450621
"Metsähallitus","Härkäkoski telttaalue kuivakäymälä",7624540,3459376
"Metsähallitus","Härkäkoski telttaalue tulipaikka",7624521,3459372
"Metsähallitus","Ravadasjärvi tulentekopaikka 1",7623038,3458422
"Metsähallitus","Ravadasjärvi tulipaikka 2",7623068,3458396
"Metsähallitus","Ravadasjärvi kuivakäymälä",7623084,3458443
"Metsähallitus","Pitkäniemi kuivakäymälä",7621623,3457206
"Metsähallitus","Pitkäniemi tulentekopaikka",7621593,3457233
"Metsähallitus","Maddib-Ravadas tulentekopaikka",7625637,3453425
"Metsähallitus","Ravadasniemi tulentekopaikka",7624720,3456116
"Metsähallitus","Härkäjärvi tulentekopaikka",7625991,3461018
"Metsähallitus","Kurtojoki kuivakäymälä",7661255,3462883
"Metsähallitus","Kurtojoki tulipaikka",7661246,3462863
"Metsähallitus","Pitkäkangas laavu",7107410,3473502
"Metsähallitus","Jäniskoski wc",7646296,3498790
"Metsähallitus","Kyläjokisuu käymälä",7595219,3481731
"Metsähallitus","Appisjokisuu tulipaikka",7602957,3485000
"Metsähallitus","Ritakoski käymälä",7602291,3497229
"Metsähallitus","Ritakoski tulipaikka",7602213,3497254
"Metsähallitus","Sotajokisuu käymälä",7602534,3493523
"Metsähallitus","Sotajokisuu tulipaikka",7602549,3493497
"Metsähallitus","Ivalojoen Kultala väentupa käymälä",7602461,3486979
"Metsähallitus","Louhioja käymälä",7604933,3501735
"Metsähallitus","Raahenpirtti käymälä",7600618,3499734
"Metsähallitus","Moperginoja käymälä",7594172,3496942
"Metsähallitus","Pahaojantienpää käymälä",7596375,3494911
"Metsähallitus","Pahaoja käymälä",7596066,3494395
"Metsähallitus","Rautujärvi käymälä",7618901,3502500
"Metsähallitus","Pallaksen kota",7553597,3378272
"Metsähallitus","Mäntyjärvi kuivakäymälä 2",7049642,3401860
"Metsähallitus","Porokämppä WC liiteri",7289698,3468434
"Metsähallitus","Suomunlatva liiteri",7578392,3524233
"Metsähallitus","Salonlampi käymälä",7573103,3529221
"Metsähallitus","Mielikköjärvi lintutorni",7628088,3528606
"Metsähallitus","Sallivaara huoltotupa kuivakäymälä",7600722,3455059
"Metsähallitus","Sallivaara kuivakäymälä",7601252,3454789
"Metsähallitus","Sallivaara kuivakäymälä",7600803,3454145
"Metsähallitus","Kotaoja huoltotupa tulipaikka",7621552,3450837
"Metsähallitus","Siikavuopaja käymälä",7587973,3540527
"Metsähallitus","Anterinmukka keittokatos",7574673,3560249
"Metsähallitus","Kurimokoski laavu",7206374,3510924
"Metsähallitus","Kurimokoski kuivakäymälä",7206378,3510923
"Metsähallitus","Kurimokoski nuotiokehä",7206372,3510922
"Metsähallitus","Prospehtoori käymälä",7590002,3517599
"Metsähallitus","Vongoiva käymälä",7567559,3560661
"Metsähallitus","Kelooja kota",7593127,3517974
"Metsähallitus","Hammaskota käymälä",7563645,3553385
"Metsähallitus","Rajan kämppä käymälä",7569857,3542717
"Metsähallitus","Harriojan kota",7592174,3511784
"Metsähallitus","Harrioja wc-liiteri",7592166,3511796
"Metsähallitus","Muorravaarakka käymälä",7575220,3552268
"Metsähallitus","Muorravaarakka keittokatos",7575212,3552178
"Metsähallitus","Rönkönlampi kota",7586424,3516035
"Metsähallitus","Rönkönlampi wc",7586422,3516057
"Metsähallitus","Välimaa kota",7589039,3518414
"Metsähallitus","Välimaa wc",7589053,3518419
"Metsähallitus","Välimaa ulkotulipaikka",7589034,3518395
"Metsähallitus","Muurahaislampi tulipaikka",7630368,3467914
"Metsähallitus","Pessinlampi ulkotulipaikka",7587245,3521929
"Metsähallitus","Topsakka - aavan lintutorni .",7395450,3580771
"Metsähallitus","Tormuanjärvi laavu",7244368,3615482
"Metsähallitus","Ristiluoma autiotuvan tulentekopaikka",7244038,3604237
"Metsähallitus","Ristiluoma autiotuvan käymälä",7244053,3604215
"Metsähallitus","Kantokoski autiotuvan käymälä",7240745,3600271
"Metsähallitus","Kantokoski autiotuvan tulentekopaikka",7240731,3600283
"Metsähallitus","Raaninkoski tulentekopaikan käymälä",7241794,3612282
"Metsähallitus","Tulijärvi autiotuvan tulentekopaikka",7248636,3621871
"Metsähallitus","Tulijärvi autiotuvan käymälä",7248604,3621817
"Metsähallitus","Tulijärvi tulentekopaikka",7248555,3623096
"Metsähallitus","Tulijärvi tulentekopaikan käymälä",7248562,3623127
"Metsähallitus","Hämeaho autiotuvan tulentekopaikka",7243830,3621042
"Metsähallitus","Salamajärvi, Heikinlammen käymälä",7016464,3391460
"Metsähallitus","Heikinlampi tulipaikka",7016450,3391485
"Metsähallitus","Oskarinkosken kolttakenttä käymälä",7596993,3552767
"Metsähallitus","Poika-ahon käymälä",6971836,3420587
"Metsähallitus","Kruununkierros käymälä",7370543,3353869
"Metsähallitus","Kruununkierros laavu",7370558,3353838
"Metsähallitus","Korvajokisuu veneluiska",7329434,3512448
"Metsähallitus","Kirnulampi halkovaja käymälä",7177069,3642919
"Metsähallitus","Naurissaari tulipaikka",6998501,3433208
"Metsähallitus","Jungfruskärin yleisökäymälä",6684509,3171180
"Metsähallitus","Helvetinjärven tulentekopaikka, Hiedan sauna",6884453,3332723
"Metsähallitus","Bjonsin käymälä",6684402,3171849
"Metsähallitus","Porosaari tulipaikka",7331459,3508872
"Metsähallitus","Ekojärven tulentekopaikka",6804690,3297509
"Metsähallitus","Ekojärven lintutorni",6804692,3297467
"Metsähallitus","Kirvesjärvi kota",7166972,3473573
"Metsähallitus","Saarinen kota",7165163,3473961
"Metsähallitus","Pyyvaara lintutorni",7210520,3614124
"Metsähallitus","Iso-Kärsämäenjärvi, laavu",7090510,3462079
"Metsähallitus","Iso - Kärsämäenjävi, Polttopuusuoja - kuivakäymälä",7090490,3462081
"Metsähallitus","Iso - Kärsämäenjärvi, tulentekopaikka",7090501,3462072
"Metsähallitus","Jungfruskärin kasarmikäymälä",6684616,3171220
"Metsähallitus","Ylä-Kairi  käymälä",7527092,3556240
"Metsähallitus","Mustasaarenkeitaan luontotorni",6889842,3230330
"Metsähallitus","Marasenlampi kuivakäymälä",7397225,3473074
"Metsähallitus","Marasenlampi riuku",7397223,3473070
"Metsähallitus","Marasenlampi tulipaikka",7397406,3473286
"Metsähallitus","Pitkä-Hoilua tulentekopaikka nro 2 käymälä",7265151,3610840
"Metsähallitus","Louhikonkoski käymälä",7173543,3494764
"Metsähallitus","Tappurin liiteri kuivakäymälä",7580770,3370857
"Metsähallitus","Haatajanlampi laavu",7238498,3629913
"Metsähallitus","Haatajanlampi kuivakäymälä",7238474,3629928
"Metsähallitus","Haatajanlampi tulentekopaikka",7238503,3629898
"Metsähallitus","Sioskurun liiteri kuivakäymälä",7582649,3368840
"Metsähallitus","Mustalampi tulentekopaikka",7232600,3632564
"Metsähallitus","Keimiöjärvi vuokratupa tulipaikka",7543798,3380578
"Metsähallitus","Tiaisentorpan pysäköinti al. tulentekopaikka",7213859,3519006
"Metsähallitus","Opukasjärvi tulipaikka",7724104,3556580
"Metsähallitus","Opukasjärvi tulipaikka",7724721,3555663
"Metsähallitus","Pisa luontotorni",7013326,3566807
"Metsähallitus","Jyppyrän laavu",7594376,3363289
"Metsähallitus","Kummalehdon suvanto, käymälä",7539033,3596507
"Metsähallitus","Matalakangas P-alue käymälä",7333227,3515937
"Metsähallitus","Hanhikoski kuivakäymälä",6983263,3728894
"Metsähallitus","Lakonkangas laavu",6982359,3729997
"Metsähallitus","Lakonkangas kuivakäymälä",6982322,3729974
"Metsähallitus","Palokangas tulentekopaikka",6989627,3725178
"Metsähallitus","Hietajärvi käymälä",7154596,3643967
"Metsähallitus","Peuran polun puuvajakäymälä, Jatkonjärvi",7035821,3391058
"Metsähallitus","Jatkonjärvi tulipaikka",7035830,3391067
"Metsähallitus","Peuran polku käymälä/liiteri, Vähä-Valvatti",7033777,3383790
"Metsähallitus","Karigasniemi Ailigas kotalaavu",7705318,3458327
"Metsähallitus","Karigasniemi Ailigas nuotiokehikko",7705308,3458326
"Metsähallitus","Savilammen  mutterikota",7585890,3371564
"Metsähallitus","Savilammen  liiteri- ja käymälärakennelma",7585899,3371567
"Metsähallitus","Sissankiselän tulipaikka",7598570,3361331
"Metsähallitus","Kuninkaan liiterikäymälä Kokkovalkeinen",6976968,3368595
"Metsähallitus","Kaapri kuivakäymälä",7263364,3418614
"Metsähallitus","Jyppyrän polttopuusuoja-wc",7594392,3363310
"Metsähallitus","Selkä-Sarvi tulentekopaikka",7282974,3371001
"Metsähallitus","Koidanvaara laavu",6995432,3725773
"Metsähallitus","Koidanvaara kuivakäymälä",6995453,3725782
"Metsähallitus","Hiislampi laavu",6957499,3707407
"Metsähallitus","Hiislampi kuivakäymälä",6957507,3707420
"Metsähallitus","Linnalampi kuivakäymälä",6964762,3705253
"Metsähallitus","Niemipuro kuivakäymälä",6984989,3726680
"Metsähallitus","Sammalpuro kuivakäymälä",6985877,3726181
"Metsähallitus","Alajoki kuivakäymälä",6987770,3725177
"Metsähallitus","Alajoki tulentekopaikka",6987777,3725185
"Metsähallitus","Hiislampi tulentekopaikka",6957499,3707404
"Metsähallitus","Halttunen liiteri-käymälä",6870045,3450623
"Metsähallitus","Tormuanjärvi tulentekopaikka",7244368,3615481
"Metsähallitus","Laavu ohjelmapalvelu yrittäjille",7370756,3597924
"Metsähallitus","Tuiskukuru tulipaikka",7569985,3535231
"Metsähallitus","Joensuonkangas tulipaikka",6932686,3396551
"Metsähallitus","Anterimukka tulipaikka",7574732,3560145
"Metsähallitus","Töyrilampi tulipaikka",6995266,3413195
"Metsähallitus","Töyrilampi laavu",6995268,3413197
"Metsähallitus","Kivijärvi kuivakäymälä Töyrilampi",6995279,3413226
"Metsähallitus","Iso-Hiekka laavun tulipaikka",6997452,3412389
"Metsähallitus","Koiranjuomalampi laavu",7567146,3506102
"Metsähallitus","Koiranjuomalampi käymälä",7567146,3506108
"Metsähallitus","Hevonperse laavu tulentekopaikka",7258144,3598169
"Metsähallitus","Hevonperse laavu käymälä",7258126,3598152
"Metsähallitus","Keihäslampi käymälä",7265421,3616463
"Metsähallitus","Iikoski käymälä",7267115,3615737
"Metsähallitus","Lauhanvuoren tulentekopaikka, kämppä",6904120,3248804
"Metsähallitus","Iikoski tulentekopaikka 1",7267071,3615812
"Metsähallitus","Lauhanvuoren käymälä, kämppä",6904122,3248821
"Metsähallitus","Iikoski tulentekopaikka 2",7267086,3615761
"Metsähallitus","Hiipanniemi keittokatos",7387262,3519374
"Metsähallitus","Antinlahti tulipaikka",7386604,3519363
"Metsähallitus","Antinlahti liiteri-käymälä",7386618,3519391
"Metsähallitus","Selkä-Sarvi kuivakäymälä",7282956,3371008
"Metsähallitus","Antinlahti keittokatos",7386588,3519402
"Metsähallitus","Antinniemi tulipaikka",7386480,3519356
"Metsähallitus","Antinniemi käymälä",7386474,3519380
"Metsähallitus","Ailanganlahti tulipaikka",7386783,3520414
"Metsähallitus","Ailanganlahti liiteri-käymälä",7386784,3520389
"Metsähallitus","Hiipanniemi käymälä",7387154,3519689
"Metsähallitus","Tiaisärkkä laavu",6987534,3622529
"Metsähallitus","Tiaissärkkä kuivakäymälä",6987527,3622487
"Metsähallitus","Kalastonkoski laavun tulentekopaikka",7134688,3647881
"Metsähallitus","Petrankoski laavun tulentekopaikka",7094455,3657654
"Metsähallitus","Kirkonnurkanlammen käymälä",7371628,3609753
"Metsähallitus","Lauhanvuoren tulentekopaikka, Spitaalijärven keittokatos",6901886,3248000
"Metsähallitus","Lauhanvuoren käymälä, Spitaalijärven telttapaikka",6901841,3248400
"Metsähallitus","Lauhanvuoren tulentekopaikka, Spitaalijärvi telttapaikka",6901871,3248324
"Metsähallitus","Keihäsjoki Ala-Ruokonen kuivakäymälä",7023277,3597816
"Metsähallitus","Keihäsjoki  Ala-Ruokonen nuotiopaikka",7023302,3597890
"Metsähallitus","Kortesalo tulentekopaikka",6871963,3310933
"Metsähallitus","Kortesalo käymälä",6871979,3310940
"Metsähallitus","Saunavaara käymälä",7508559,3561538
"Metsähallitus","Kutunivat yläpää käymälä",7537657,3596371
"Metsähallitus","Murkinahauta liiteri-käymälä",7517077,3555585
"Metsähallitus","Vieriharju kuivakäymälä",7550720,3586138
"Metsähallitus","Ylempivasaoja liiteri-käymälä",7520855,3558649
"Metsähallitus","Vasasuvanto liiteri-käymälä",7519100,3557785
"Metsähallitus","Alempi-Vasaoja liiteri-käymälä",7517874,3555343
"Metsähallitus","Majavasokka liiteri-käymälä",7514603,3555794
"Metsähallitus","Lojukoski kuivakäymälä",6785270,3494590
"Metsähallitus","Seitseminen tulentekopaikka",6878935,3309306
"Metsähallitus","Kaippaanoja käymälä",7412049,3579625
"Metsähallitus","Sormijoensuu liiteri-käymälä",7511981,3559435
"Metsähallitus","Kuritsa liiteri-käymälä",7510550,3560099
"Metsähallitus","Riekkohauta käymälä",7507553,3564032
"Metsähallitus","Riekkohauta laavu",7507578,3563983
"Metsähallitus","Pikku-Tankavaara luontotorni",7564910,3505933
"Metsähallitus","Lattuna käymälä",7515510,3574970
"Metsähallitus","Kärekeoja tulipaikka",7532510,3592628
"Metsähallitus","Kylmähete kuivakäymälä",7410585,3581856
"Metsähallitus","Saijanojan latva tulipaikka",7518398,3597484
"Metsähallitus","Pyhäjärvi liiteri-käymälä",7474057,3576525
"Metsähallitus","Kirkkaanlamminkangas käymälä",6874821,3309744
"Metsähallitus","Murhahaara käymälä",7505333,3609423
