"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Helsinki","Jyrängönpuisto/lasten kahluuallas",6679545,3387057
"Helsinki","Mäkitorpan puisto/lasten kahluuallas",6681462,3387160
"Helsinki","Vallilan perhepuisto/lasten kahluuallas",6677994,3387071
"Helsinki","Pohjoisrannan venesatama",6675036,3387036
"Helsinki","Katajanokan vierassatama",6674809,3387124
"Helsinki","Valkosaaren venesatama",6673915,3387098
"Helsinki","Katajanokan venesatama",6674796,3387255
"Tuusula","Häklin uimapaikka",6701298,3388166
"Tuusula","Rusutjärven kylänranta",6703433,3388285
"Tervola","Mattisen uimapaikka",7338336,3408454
"Kivijärvi","Perkauden uimapaikka",6999347,3397725
"Helsinki","Pakilan uimaranta",6683361,3387880
"Oulainen","Honkarannan hiihtokeskus",7134455,3402032
"Helsinki","Pukinmäen uimaranta",6683698,3388051
"Tervola","Louen uimapaikka",7340361,3408790
"Helsinki","Malmin uimaranta",6684572,3388190
"Reisjärvi","Susisaaren uimapaikka",7057211,3399939
"Helsinki","Suomenlinnan uimaranta",6671948,3388006
"Helsinki","Pikkukosken uimaranta",6681319,3388412
"Tervola","Kätkäjärven uimapaikka",7349816,3409514
"Helsinki","Siltamäen aluepuisto/lasten kahluuallas",6686592,3388776
"Helsinki","Siltalanpuisto/lasten kahluuallas",6685644,3388826
"Tuusula","Rusutjärven rantauimala",6703815,3389418
"Helsinki","Säveltäjänpuisto/lasten kahluuallas",6683222,3388853
"Tuusula","Metsäpirtin leirikeskus",6703465,3389486
"Helsinki","Tapaninvainion aluep./lasten kahluuallas",6684905,3389003
"Helsinki","Green star/ulkouima-allas",6683910,3389038
"Helsinki","Mustikkamaan ulkoilupuisto/uimaranta",6675837,3388834
"Helsinki","Mustikkamaan venesatama",6676233,3388915
"Jämsänkoski","Luomen koulun ranta",6883742,3395304
"Helsinki","Ylä-Malmin leikkip./lasten kahluuallas",6683934,3389206
"Jämsänkoski","Luomen leirikeskus/uimapaikka",6883744,3395388
"Helsinki","Pihlajamäen laskettelurinne/k 25",6682124,3389297
"Jämsä","Heräjärven uimapaikka",6868410,3395243
"Helsinki","Salpausselän leikkip./lasten kahluuallas",6681729,3389606
"Helsinki","Kiillepuisto/lasten kahluuallas",6681954,3389650
"Nokia","Teernijärven uimaranta",6821187,3310327
"Urjala","Urjalankylän uimapaikka",6780127,3308415
"Tammisaari","Campingens simplats",6655661,3301781
"Nokia","Sorvan uimaranta",6817750,3310660
"Hämeenkyrö","Lavajärven uimapaikka",6844192,3312674
"Nokia","Alinenjärven uimala",6825946,3311853
"Somero","Etappimajan rata",6737273,3307072
"Kuortane","Länsirannan uimaranta",6971491,3320009
"Somero","Lamminjärven ranta",6737060,3307317
"Kisko","Kirkonkylän uimapaikka",6687352,3304702
"Alavus","Ilosalon ranta",6941079,3318538
"Kuortane","Ruonan uimaranta",6975043,3320441
"Nokia","Kuusiston uimaranta",6819806,3312755
"Somero","Härkälän ranta",6728767,3308099
"Nokia","Lehtiniemen uimaranta",6819492,3312975
"Ylöjärvi","Työläjärven uimaranta",6835265,3313826
"Tammisaari","Dragsvik simplats",6657701,3304474
"Kuortane","Kirkkoranta",6971742,3321402
"Nokia","Viinikanniemen uimaranta",6820562,3313234
"Ylöjärvi","Koo-Vee:n uimaranta",6839375,3314341
"Nokia","Liukuslahden uimala",6821109,3313361
"Tammisaari","Baggby skidskyttebana",6659933,3305052
"Nokia","Kehon uimaranta",6820533,3313685
"Viljakkala","Toivolan uimaranta",6854187,3315670
"Alavus","Vetämäjärven leirikeskus",6952650,3321473
"Ylöjärvi","Julkujärven rantauimala",6832972,3315287
"Vesilahti","Narvan uimapaikka",6803106,3313872
"Tammisaari","Langansböle simplats",6657433,3306201
"Alajärvi","Menkijärven uimapaikka",6987699,3324084
"Ylöjärvi","Lepojärven uimaranta",6839287,3316279
"Nokia","Vanhainkodin uimala",6824557,3315545
"Somero","Havuharjun ranta",6727945,3310524
"Urjala","Laukeelan uimapaikka",6779358,3313293
"Nokia","Vihnuksen uimala",6824290,3315877
"Kisko","Orijärven uimapaikka",6684254,3308993
"Ylöjärvi","Mutalan uimaranta",6844192,3318887
"Ylöjärvi","Pohjankylän uimaranta",6844596,3319059
"Somero","Ahveniston ranta",6735660,3313733
"Kiikala","Härjänvatsan uimala",6707216,3312716
"Kisko","Tynnyrlammen uimapaikka",6691801,3312125
"Karjaa","Svedja simplats",6663972,3310750
"Ylöjärvi","Räikän uimala",6832488,3319528
"Ylöjärvi","Aron uimaranta",6831906,3319517
"Somero","Jorrin rata",6732790,3314845
"Alavus","Harrin rantauimala",6945739,3325954
"Vesilahti","Kirkonkylän uimapaikka",6805096,3318607
"Tampere","Tesoma-Ikurin uimaranta",6826915,3319772
"Ylöjärvi","Keijärven uimaranta",6833951,3320298
"Pirkkala","Turrin uimala",6822822,3319735
"Tampere","Tesoma-Ristimäen uimaranta",6826919,3320031
"Tampere","Saarenkärjen uimaranta",6825029,3320412
"Alavus","Tusan ranta",6946606,3326747
"Somero","Hirsjärven leirikeskuksen ranta",6726064,3315422
"Somero","Hovimäen ranta",6725427,3315475
"Alavus","Sapsalammin ranta",6931394,3326355
"Tampere","Tohloppi uusi uimaranta",6827380,3321396
"Viiala","Arajärven rantauimala",6792205,3319635
"Tampere","Raholan uimaranta",6825404,3321402
"Lappajärvi","Uimapaikka nykälä",7020505,3331614
"Tampere","Tohloppi-Epilän uimaranta",6827573,3321687
"Lappajärvi","Uimapaikka kirkkoranta",7016407,3331608
"Pirkkala","Vähäjärven uimapaikka",6821517,3321624
"Pirkkala","Rantaniityn uimaranta",6822485,3321701
"Urjala","Huhdin uimapaikka",6777139,3319402
"Alavus","Kätkänjoen ranta",6958817,3329221
"Karjaa","Bastsjö simplats",6675348,3315210
"Karjaa","Pumpvikens simplats",6667406,3315221
"Tampere","Viikinsaaren uimaranta",6823047,3323277
